key,productRequestId,requestNumber,productRequestName,description,quantityRequested,quantityUnit,priority,dueDate,requestStatus,unitExternalIds,fileExternalIds,workOrderExternalIds,sourceSystem
PR_R12_R13_2024_01,PR-R12-R13-2024-01,REQ-R12-R13-2024-01,R12 R13 Polymer Campaign Request,Campaign request covering reactor units R12 and R13 for quarter one production run,7200,kg,1,2024-02-15T00:00:00Z,Released,UNIT_R12|UNIT_R13,isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_PUMP|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_FLOWMETER|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_PRESSURE_TX|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_TEMP_SENSOR|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_CONTROL_PANEL|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_VFD|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_SAFETY_VALVE|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIXER|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_VFD|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_TORQUE_SENSOR|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_TEMP_SENSOR|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_PRESSURE_TX|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_CONTROL_PANEL|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_SAFETY_INTERLOCK,WO-R12-001|WO-R12-002|WO-R12-003|WO-R12-004|WO-R12-005|WO-R13-001|WO-R13-002|WO-R13-003|WO-R13-004,MES
PR_FILL_2024_02,PR-FILL-2024-02,REQ-FILL-2024-02,Fill Line Throughput Request,Fill line request coordinating sterile and transfer lots for release window two,21000,L,2,2024-02-21T00:00:00Z,In Progress,UNIT_FILL_TANK,isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_TRANSFER_PUMP|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PUMP_VFD|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PRESSURE_TRANSMITTER|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PUMP_FLOWMETER|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PUMP_LEVEL_SWITCH|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PUMP_TEMP_SENSOR|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PUMP_CONTROL_PANEL,WO-FILL-001|WO-FILL-002|WO-FILL-003|WO-FILL-004|WO-FILL-005,APS
PR_QC_QA_2024_01,PR-QC-QA-2024-01,REQ-QC-QA-2024-01,Laboratory QC QA Support Request,Laboratory request aligning QC and QA verification for release and stability batches,360,samples,3,2024-02-11T00:00:00Z,Released,UNIT_QC1|UNIT_QA1,isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_SYSTEM|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_PUMP|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_COLUMN|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_DETECTOR|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_FRACTIONATOR|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_CONTROLLER|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_DATA_SYSTEM|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_DETECTOR|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_LAMP|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_POWER_SUPPLY|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_CONTROL_MODULE|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_SAMPLE_CELL|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_COOLING_FAN|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_MONITOR|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_COLLECTOR|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_RACK|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_CONTROLLER|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_SENSOR|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_PUMP|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_STORAGE|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_LOGGER|isa_manufacturing_file_EM_QA_SENS_EQ_QA_SENSOR_ARRAY|isa_manufacturing_file_EM_QA_SENS_EQ_QA_DATA_LOGGER|isa_manufacturing_file_EM_QA_SENS_EQ_QA_PH_SENSOR|isa_manufacturing_file_EM_QA_SENS_EQ_QA_CONDUCTIVITY_SENSOR|isa_manufacturing_file_EM_QA_SENS_EQ_QA_TURBIDITY_METER|isa_manufacturing_file_EM_QA_SENS_EQ_QA_SPECTROMETER|isa_manufacturing_file_EM_QA_SENS_EQ_QA_HUMIDITY_LOGGER,WO-QC-CHR-001|WO-QC-CHR-002|WO-QC-CHR-003|WO-QC-CHR-004|WO-QC-UV-001|WO-QC-UV-002|WO-QC-UV-003|WO-QC-UV-004|WO-QA-001|WO-QA-002|WO-QA-003|WO-QA-004,LIMS
PR_PACK_2024_01,PR-PACK-2024-01,REQ-PACK-2024-01,Packaging and Conveyor Run Request,Packaging request preparing blender and conveyor units for outbound fulfillment sprint,58000,units,4,2024-02-19T00:00:00Z,Planned,UNIT_BLDR|UNIT_CONV1,isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_DRIVE|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_ASSEMBLY|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_TEMP_SENSOR|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_VIBRATION|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_GEARBOX|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_BRAKE|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_FILTER|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_SAFETY_SWITCH|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_PANEL|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_HMI|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_PLC|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_IO|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_NETWORK|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_POWER_SUPPLY|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_SAFETY_RELAY|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_DATA_LOGGER|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_DRIVE|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_SPEED_SENSOR|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_CONTROL_PANEL|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_MOTOR|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_VFD|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_SAFETY_SCANNER|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_PHOTOEYE,WO-BLDR-001|WO-BLDR-002|WO-BLDR-003|WO-BLDR-004|WO-BLDR-005|WO-CONV-001|WO-CONV-002|WO-CONV-003|WO-CONV-004,ERP
PR_UTIL_2024_01,PR-UTIL-2024-01,REQ-UTIL-2024-01,Utilities and Reactor Support Request,Utilities request coordinating compressor and reactor readiness for winter campaign,4800,kg,2,2024-03-02T00:00:00Z,In Progress,UNIT_COMP|UNIT_R14|UNIT_R15,isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_CTRL|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_BACKUP_CTRL|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_PRESSURE_TX|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_TEMP_SENSOR|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_VIBRATION_MON|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_OIL_PUMP|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_SIS|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_CONTROLLER|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_TEMP_SENSOR|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_PRESSURE_TX|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_FLOW_SWITCH|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_VFD|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_SAFETY_RELAY|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_MANIFOLD|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_ACTUATOR|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_POSITIONER|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_PRESSURE_TX|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_TEMP_SENSOR|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_SAFETY_VALVE|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_CONTROL_PANEL,WO-COMP-001|WO-COMP-002|WO-COMP-003|WO-COMP-004|WO-R14-001|WO-R14-002|WO-R14-003|WO-R15-001|WO-R15-002|WO-R15-003,UtilitiesScheduler
PR_PILOT_2024_DEV,PR-PILOT-2024-DEV,REQ-PILOT-2024-DEV,Pilot Reactor Development Request,Pilot request orchestrating reactor development lots for scale up insights,980,kg,5,2024-03-07T00:00:00Z,Released,UNIT_PILOT_REACT,isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_CONTROLLER|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_INTERLOCK|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_DATA_LOGGER|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_PRESSURE_TX|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_TEMP_SENSOR|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_FLOWMETER|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_CONTROL_PANEL,WO-PILOT-001|WO-PILOT-002|WO-PILOT-003|WO-PILOT-004|WO-PILOT-005,PilotSystem
PR_UNIT_BLDR_FOCUS_2024,PR-UNIT_BLDR-FOCUS-2024,REQ-UNIT_BLDR-FOCUS-2024,Blender U1 Operations Request,Unit Blender U1 request aligning files and work orders for readiness,3200,kg,1,2024-02-08T00:00:00Z,Released,UNIT_BLDR,isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_DRIVE|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_ASSEMBLY|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_TEMP_SENSOR|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_VIBRATION|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_GEARBOX|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_BRAKE|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_FILTER|isa_manufacturing_file_EM_BLDR_MOTOR_EQ_BLDR_MOTOR_SAFETY_SWITCH|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_PANEL|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_HMI|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_PLC|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_IO|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_NETWORK|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_POWER_SUPPLY|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_SAFETY_RELAY|isa_manufacturing_file_EM_BLDR_CTRL_EQ_BLDR_CONTROL_DATA_LOGGER,WO-BLDR-001|WO-BLDR-002|WO-BLDR-003|WO-BLDR-004|WO-BLDR-005,MES
PR_UNIT_COMP_FOCUS_2024,PR-UNIT_COMP-FOCUS-2024,REQ-UNIT_COMP-FOCUS-2024,Compressor Operations Request,Unit Compressor request aligning files and work orders for readiness,1400,L,2,2024-02-09T00:00:00Z,In Progress,UNIT_COMP,isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_CTRL|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_BACKUP_CTRL|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_PRESSURE_TX|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_TEMP_SENSOR|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_VIBRATION_MON|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_OIL_PUMP|isa_manufacturing_file_EM_COMP_CTRL_EQ_COMPRESSOR_SIS,WO-COMP-001|WO-COMP-002|WO-COMP-003|WO-COMP-004,APS
PR_UNIT_CONV1_FOCUS_2024,PR-UNIT_CONV1-FOCUS-2024,REQ-UNIT_CONV1-FOCUS-2024,Conveyor 1 Operations Request,Unit Conveyor 1 request aligning files and work orders for readiness,1400,samples,3,2024-02-10T00:00:00Z,Planned,UNIT_CONV1,isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_DRIVE|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_SPEED_SENSOR|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_CONTROL_PANEL|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_MOTOR|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_VFD|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_SAFETY_SCANNER|isa_manufacturing_file_EM_CONV_DRV1_EQ_CONV1_PHOTOEYE,WO-CONV-001|WO-CONV-002|WO-CONV-003|WO-CONV-004,LIMS
PR_UNIT_FILL_TANK_FOCUS_2024,PR-UNIT_FILL_TANK-FOCUS-2024,REQ-UNIT_FILL_TANK-FOCUS-2024,Fill Tank Operations Request,Unit Fill Tank request aligning files and work orders for readiness,1400,units,4,2024-02-11T00:00:00Z,Completed,UNIT_FILL_TANK,isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_TRANSFER_PUMP|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PUMP_VFD|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PRESSURE_TRANSMITTER|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PUMP_FLOWMETER|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PUMP_LEVEL_SWITCH|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PUMP_TEMP_SENSOR|isa_manufacturing_file_EM_FILL_PUMP_EQ_FILL_PUMP_CONTROL_PANEL,WO-FILL-001|WO-FILL-002|WO-FILL-003|WO-FILL-004|WO-FILL-005,ERP
PR_UNIT_PILOT_REACT_FOCUS_2024,PR-UNIT_PILOT_REACT-FOCUS-2024,REQ-UNIT_PILOT_REACT-FOCUS-2024,Pilot Reactor Operations Request,Unit Pilot Reactor request aligning files and work orders for readiness,1400,kg,5,2024-02-12T00:00:00Z,Released,UNIT_PILOT_REACT,isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_CONTROLLER|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_INTERLOCK|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_DATA_LOGGER|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_PRESSURE_TX|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_TEMP_SENSOR|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_FLOWMETER|isa_manufacturing_file_EM_PILOT_CTRL_EQ_PILOT_CONTROL_PANEL,WO-PILOT-001|WO-PILOT-002|WO-PILOT-003|WO-PILOT-004|WO-PILOT-005,UtilitiesScheduler
PR_UNIT_QA1_FOCUS_2024,PR-UNIT_QA1-FOCUS-2024,REQ-UNIT_QA1-FOCUS-2024,QA Unit 1 Operations Request,Unit QA Unit 1 request aligning files and work orders for readiness,1400,L,1,2024-02-13T00:00:00Z,In Progress,UNIT_QA1,isa_manufacturing_file_EM_QA_SENS_EQ_QA_SENSOR_ARRAY|isa_manufacturing_file_EM_QA_SENS_EQ_QA_DATA_LOGGER|isa_manufacturing_file_EM_QA_SENS_EQ_QA_PH_SENSOR|isa_manufacturing_file_EM_QA_SENS_EQ_QA_CONDUCTIVITY_SENSOR|isa_manufacturing_file_EM_QA_SENS_EQ_QA_TURBIDITY_METER|isa_manufacturing_file_EM_QA_SENS_EQ_QA_SPECTROMETER|isa_manufacturing_file_EM_QA_SENS_EQ_QA_HUMIDITY_LOGGER,WO-QA-001|WO-QA-002|WO-QA-003|WO-QA-004,PilotSystem
PR_UNIT_QC1_FOCUS_2024,PR-UNIT_QC1-FOCUS-2024,REQ-UNIT_QC1-FOCUS-2024,QC Unit 1 Operations Request,Unit QC Unit 1 request aligning files and work orders for readiness,4200,samples,2,2024-02-14T00:00:00Z,Planned,UNIT_QC1,isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_SYSTEM|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_PUMP|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_COLUMN|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_DETECTOR|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_FRACTIONATOR|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_CONTROLLER|isa_manufacturing_file_EM_QC_CHROM_EQ_QC_CHROM_DATA_SYSTEM|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_DETECTOR|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_LAMP|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_POWER_SUPPLY|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_CONTROL_MODULE|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_SAMPLE_CELL|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_COOLING_FAN|isa_manufacturing_file_EM_QC_UV_EQ_QC_UV_MONITOR|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_COLLECTOR|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_RACK|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_CONTROLLER|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_SENSOR|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_PUMP|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_STORAGE|isa_manufacturing_file_EM_QC_FRACTION_EQ_QC_FRACTION_LOGGER,WO-QC-CHR-001|WO-QC-CHR-002|WO-QC-CHR-003|WO-QC-CHR-004|WO-QC-UV-001|WO-QC-UV-002|WO-QC-UV-003|WO-QC-UV-004,Scheduler
PR_UNIT_R12_FOCUS_2024,PR-UNIT_R12-FOCUS-2024,REQ-UNIT_R12-FOCUS-2024,Reactor R12 Operations Request,Unit Reactor R12 request aligning files and work orders for readiness,1400,units,3,2024-02-15T00:00:00Z,Completed,UNIT_R12,isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_PUMP|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_FLOWMETER|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_PRESSURE_TX|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_TEMP_SENSOR|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_CONTROL_PANEL|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_VFD|isa_manufacturing_file_EM_R12_CHARGE_EQ_R12_CHARGE_SAFETY_VALVE,WO-R12-001|WO-R12-002|WO-R12-003|WO-R12-004|WO-R12-005,MES
PR_UNIT_R13_FOCUS_2024,PR-UNIT_R13-FOCUS-2024,REQ-UNIT_R13-FOCUS-2024,Reactor R13 Operations Request,Unit Reactor R13 request aligning files and work orders for readiness,1400,kg,4,2024-02-16T00:00:00Z,Released,UNIT_R13,isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIXER|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_VFD|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_TORQUE_SENSOR|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_TEMP_SENSOR|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_PRESSURE_TX|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_CONTROL_PANEL|isa_manufacturing_file_EM_R13_MIX_EQ_R13_MIX_SAFETY_INTERLOCK,WO-R13-001|WO-R13-002|WO-R13-003|WO-R13-004,APS
PR_UNIT_R14_FOCUS_2024,PR-UNIT_R14-FOCUS-2024,REQ-UNIT_R14-FOCUS-2024,Reactor R14 Operations Request,Unit Reactor R14 request aligning files and work orders for readiness,1400,L,5,2024-02-17T00:00:00Z,In Progress,UNIT_R14,isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_CONTROLLER|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_TEMP_SENSOR|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_PRESSURE_TX|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_FLOW_SWITCH|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_VFD|isa_manufacturing_file_EM_R14_HEAT_EQ_R14_HEATER_SAFETY_RELAY,WO-R14-001|WO-R14-002|WO-R14-003,LIMS
PR_UNIT_R15_FOCUS_2024,PR-UNIT_R15-FOCUS-2024,REQ-UNIT_R15-FOCUS-2024,Reactor R15 Operations Request,Unit Reactor R15 request aligning files and work orders for readiness,1400,samples,1,2024-02-18T00:00:00Z,Planned,UNIT_R15,isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_MANIFOLD|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_ACTUATOR|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_POSITIONER|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_PRESSURE_TX|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_TEMP_SENSOR|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_SAFETY_VALVE|isa_manufacturing_file_EM_R15_VALVE_EQ_R15_VALVE_CONTROL_PANEL,WO-R15-001|WO-R15-002|WO-R15-003,ERP
