key,phase_id,phase_name,phase_class,sequence_number,operation_externalId,equipment_module_externalIds,batch_externalIds,timeseries_externalIds,phase_state,description
PH_OP_R12_SLURRY_LOAD_INIT,PH-OP-R12-SLURRY-LOAD-INIT,R12 Slurry Load Operation Initialization Phase,Initialization,10,OP-R12-SLURRY-LOAD,EM_R12_CHARGE,BATCH-R12-2024-001,TS_R12_CHARGE_FLOW|TS_R12_CHARGE_PRESS,Running,R12 Slurry Load Operation Initialization Phase executes initialization activities for operation OP-R12-SLURRY-LOAD
PH_OP_R12_SLURRY_LOAD_PROC,PH-OP-R12-SLURRY-LOAD-PROC,R12 Slurry Load Operation Processing Phase,Processing,20,OP-R12-SLURRY-LOAD,EM_R12_CHARGE,BATCH-R12-2024-001,TS_R12_CHARGE_PRESS|TS_R12_CHARGE_TEMP,Running,R12 Slurry Load Operation Processing Phase executes processing activities for operation OP-R12-SLURRY-LOAD
PH_OP_R12_SLURRY_LOAD_COMP,PH-OP-R12-SLURRY-LOAD-COMP,R12 Slurry Load Operation Completion Phase,Verification,30,OP-R12-SLURRY-LOAD,EM_R12_CHARGE,BATCH-R12-2024-001,TS_R12_CHARGE_TEMP|TS_R12_VFD_SPEED,Complete,R12 Slurry Load Operation Completion Phase executes verification activities for operation OP-R12-SLURRY-LOAD
PH_OP_R12_SLURRY_AGITATE_INIT,PH-OP-R12-SLURRY-AGITATE-INIT,R12 Slurry Agitation Operation Initialization Phase,Initialization,10,OP-R12-SLURRY-AGITATE,EM_R12_CHARGE,BATCH-R12-2024-001,TS_R12_PANEL_STATUS|TS_R12_SAFETY_STATE,Running,R12 Slurry Agitation Operation Initialization Phase executes initialization activities for operation OP-R12-SLURRY-AGITATE
PH_OP_R12_SLURRY_AGITATE_PROC,PH-OP-R12-SLURRY-AGITATE-PROC,R12 Slurry Agitation Operation Processing Phase,Processing,20,OP-R12-SLURRY-AGITATE,EM_R12_CHARGE,BATCH-R12-2024-001,TS_R12_SAFETY_STATE|TS_R12_CHARGE_FLOW,Running,R12 Slurry Agitation Operation Processing Phase executes processing activities for operation OP-R12-SLURRY-AGITATE
PH_OP_R12_SLURRY_AGITATE_COMP,PH-OP-R12-SLURRY-AGITATE-COMP,R12 Slurry Agitation Operation Completion Phase,Verification,30,OP-R12-SLURRY-AGITATE,EM_R12_CHARGE,BATCH-R12-2024-001,TS_R12_CHARGE_FLOW|TS_R12_VFD_SPEED,Complete,R12 Slurry Agitation Operation Completion Phase executes verification activities for operation OP-R12-SLURRY-AGITATE
PH_OP_R12_FEED_CHARGE_INIT,PH-OP-R12-FEED-CHARGE-INIT,R12 Charge Feed Operation Initialization Phase,Initialization,10,OP-R12-FEED-CHARGE,EM_R12_CHARGE,BATCH-R12-2024-006,TS_R12_CHARGE_PRESS|TS_R12_CHARGE_TEMP,Running,R12 Charge Feed Operation Initialization Phase executes initialization activities for operation OP-R12-FEED-CHARGE
PH_OP_R12_FEED_CHARGE_PROC,PH-OP-R12-FEED-CHARGE-PROC,R12 Charge Feed Operation Processing Phase,Processing,20,OP-R12-FEED-CHARGE,EM_R12_CHARGE,BATCH-R12-2024-006,TS_R12_CHARGE_TEMP|TS_R12_VFD_SPEED,Running,R12 Charge Feed Operation Processing Phase executes processing activities for operation OP-R12-FEED-CHARGE
PH_OP_R12_FEED_CHARGE_COMP,PH-OP-R12-FEED-CHARGE-COMP,R12 Charge Feed Operation Completion Phase,Verification,30,OP-R12-FEED-CHARGE,EM_R12_CHARGE,BATCH-R12-2024-006,TS_R12_VFD_SPEED,Complete,R12 Charge Feed Operation Completion Phase executes verification activities for operation OP-R12-FEED-CHARGE
PH_OP_R12_FEED_VERIFY_INIT,PH-OP-R12-FEED-VERIFY-INIT,R12 Feed Verification Operation Initialization Phase,Initialization,10,OP-R12-FEED-VERIFY,EM_R12_CHARGE,BATCH-R12-2024-006,TS_R12_PANEL_STATUS|TS_R12_SAFETY_STATE,Running,R12 Feed Verification Operation Initialization Phase executes initialization activities for operation OP-R12-FEED-VERIFY
PH_OP_R12_FEED_VERIFY_PROC,PH-OP-R12-FEED-VERIFY-PROC,R12 Feed Verification Operation Processing Phase,Processing,20,OP-R12-FEED-VERIFY,EM_R12_CHARGE,BATCH-R12-2024-006,TS_R12_SAFETY_STATE,Running,R12 Feed Verification Operation Processing Phase executes processing activities for operation OP-R12-FEED-VERIFY
PH_OP_R12_FEED_VERIFY_COMP,PH-OP-R12-FEED-VERIFY-COMP,R12 Feed Verification Operation Completion Phase,Verification,30,OP-R12-FEED-VERIFY,EM_R12_CHARGE,BATCH-R12-2024-006,TS_R12_PANEL_STATUS,Complete,R12 Feed Verification Operation Completion Phase executes verification activities for operation OP-R12-FEED-VERIFY
PH_OP_R12_TRIAL_ADJUST_INIT,PH-OP-R12-TRIAL-ADJUST-INIT,R12 Trial Adjustment Operation Initialization Phase,Initialization,10,OP-R12-TRIAL-ADJUST,EM_R12_CHARGE,BATCH-R12-TRIAL-007,TS_R12_CHARGE_TEMP|TS_R12_PANEL_STATUS,Running,R12 Trial Adjustment Operation Initialization Phase executes initialization activities for operation OP-R12-TRIAL-ADJUST
PH_OP_R12_TRIAL_ADJUST_PROC,PH-OP-R12-TRIAL-ADJUST-PROC,R12 Trial Adjustment Operation Processing Phase,Processing,20,OP-R12-TRIAL-ADJUST,EM_R12_CHARGE,BATCH-R12-TRIAL-007,TS_R12_PANEL_STATUS|TS_R12_VFD_SPEED,Running,R12 Trial Adjustment Operation Processing Phase executes processing activities for operation OP-R12-TRIAL-ADJUST
PH_OP_R12_TRIAL_ADJUST_COMP,PH-OP-R12-TRIAL-ADJUST-COMP,R12 Trial Adjustment Operation Completion Phase,Verification,30,OP-R12-TRIAL-ADJUST,EM_R12_CHARGE,BATCH-R12-TRIAL-007,TS_R12_VFD_SPEED,Complete,R12 Trial Adjustment Operation Completion Phase executes verification activities for operation OP-R12-TRIAL-ADJUST
PH_OP_R13_INIT_CHARGE_INIT,PH-OP-R13-INIT-CHARGE-INIT,R13 Initiation Charge Operation Initialization Phase,Initialization,10,OP-R13-INIT-CHARGE,EM_R13_MIX,BATCH-R13-2024-002,TS_R13_MIXER_SPEED|TS_R13_VESSEL_TEMP,Running,R13 Initiation Charge Operation Initialization Phase executes initialization activities for operation OP-R13-INIT-CHARGE
PH_OP_R13_INIT_CHARGE_PROC,PH-OP-R13-INIT-CHARGE-PROC,R13 Initiation Charge Operation Processing Phase,Processing,20,OP-R13-INIT-CHARGE,EM_R13_MIX,BATCH-R13-2024-002,TS_R13_VESSEL_TEMP|TS_R13_PANEL_TEMP,Running,R13 Initiation Charge Operation Processing Phase executes processing activities for operation OP-R13-INIT-CHARGE
PH_OP_R13_INIT_CHARGE_COMP,PH-OP-R13-INIT-CHARGE-COMP,R13 Initiation Charge Operation Completion Phase,Verification,30,OP-R13-INIT-CHARGE,EM_R13_MIX,BATCH-R13-2024-002,TS_R13_PANEL_TEMP,Complete,R13 Initiation Charge Operation Completion Phase executes verification activities for operation OP-R13-INIT-CHARGE
PH_OP_R13_INIT_HEAT_INIT,PH-OP-R13-INIT-HEAT-INIT,R13 Initiation Heat Operation Initialization Phase,Initialization,10,OP-R13-INIT-HEAT,EM_R13_MIX,BATCH-R13-2024-002,TS_R13_MIXER_TORQUE|TS_R13_MIXER_SPEED,Running,R13 Initiation Heat Operation Initialization Phase executes initialization activities for operation OP-R13-INIT-HEAT
PH_OP_R13_INIT_HEAT_PROC,PH-OP-R13-INIT-HEAT-PROC,R13 Initiation Heat Operation Processing Phase,Processing,20,OP-R13-INIT-HEAT,EM_R13_MIX,BATCH-R13-2024-002,TS_R13_MIXER_SPEED,Running,R13 Initiation Heat Operation Processing Phase executes processing activities for operation OP-R13-INIT-HEAT
PH_OP_R13_INIT_HEAT_COMP,PH-OP-R13-INIT-HEAT-COMP,R13 Initiation Heat Operation Completion Phase,Verification,30,OP-R13-INIT-HEAT,EM_R13_MIX,BATCH-R13-2024-002,TS_R13_MIXER_TORQUE,Complete,R13 Initiation Heat Operation Completion Phase executes verification activities for operation OP-R13-INIT-HEAT
PH_OP_R13_MAIN_HOLD_INIT,PH-OP-R13-MAIN-HOLD-INIT,R13 Main Hold Operation Initialization Phase,Initialization,10,OP-R13-MAIN-HOLD,EM_R13_MIX,BATCH-R13-2024-008,TS_R13_VESSEL_PRESS|TS_R13_VESSEL_TEMP,Running,R13 Main Hold Operation Initialization Phase executes initialization activities for operation OP-R13-MAIN-HOLD
PH_OP_R13_MAIN_HOLD_PROC,PH-OP-R13-MAIN-HOLD-PROC,R13 Main Hold Operation Processing Phase,Processing,20,OP-R13-MAIN-HOLD,EM_R13_MIX,BATCH-R13-2024-008,TS_R13_VESSEL_TEMP|TS_R13_MIXER_SPEED,Running,R13 Main Hold Operation Processing Phase executes processing activities for operation OP-R13-MAIN-HOLD
PH_OP_R13_MAIN_HOLD_COMP,PH-OP-R13-MAIN-HOLD-COMP,R13 Main Hold Operation Completion Phase,Verification,30,OP-R13-MAIN-HOLD,EM_R13_MIX,BATCH-R13-2024-008,TS_R13_MIXER_SPEED|TS_R13_INTERLOCK_STATE,Complete,R13 Main Hold Operation Completion Phase executes verification activities for operation OP-R13-MAIN-HOLD
PH_OP_R13_POSTCURE_BAKE_INIT,PH-OP-R13-POSTCURE-BAKE-INIT,R13 Post Cure Bake Operation Initialization Phase,Initialization,10,OP-R13-POSTCURE-BAKE,EM_R13_MIX,BATCH-R13-POST-009,TS_R13_PANEL_TEMP|TS_R13_MIXER_TORQUE,Running,R13 Post Cure Bake Operation Initialization Phase executes initialization activities for operation OP-R13-POSTCURE-BAKE
PH_OP_R13_POSTCURE_BAKE_PROC,PH-OP-R13-POSTCURE-BAKE-PROC,R13 Post Cure Bake Operation Processing Phase,Processing,20,OP-R13-POSTCURE-BAKE,EM_R13_MIX,BATCH-R13-POST-009,TS_R13_MIXER_TORQUE,Running,R13 Post Cure Bake Operation Processing Phase executes processing activities for operation OP-R13-POSTCURE-BAKE
PH_OP_R13_POSTCURE_BAKE_COMP,PH-OP-R13-POSTCURE-BAKE-COMP,R13 Post Cure Bake Operation Completion Phase,Verification,30,OP-R13-POSTCURE-BAKE,EM_R13_MIX,BATCH-R13-POST-009,TS_R13_PANEL_TEMP,Complete,R13 Post Cure Bake Operation Completion Phase executes verification activities for operation OP-R13-POSTCURE-BAKE
PH_OP_FILL_BULK_TRANSFER_INIT,PH-OP-FILL-BULK-TRANSFER-INIT,Fill Bulk Transfer Operation Initialization Phase,Initialization,10,OP-FILL-BULK-TRANSFER,EM_FILL_PUMP,BATCH-FILL-2024-003,TS_FILL_PUMP_FLOW|TS_FILL_PUMP_PRESS,Running,Fill Bulk Transfer Operation Initialization Phase executes initialization activities for operation OP-FILL-BULK-TRANSFER
PH_OP_FILL_BULK_TRANSFER_PROC,PH-OP-FILL-BULK-TRANSFER-PROC,Fill Bulk Transfer Operation Processing Phase,Processing,20,OP-FILL-BULK-TRANSFER,EM_FILL_PUMP,BATCH-FILL-2024-003,TS_FILL_PUMP_PRESS|TS_FILL_TANK_LEVEL,Running,Fill Bulk Transfer Operation Processing Phase executes processing activities for operation OP-FILL-BULK-TRANSFER
PH_OP_FILL_BULK_TRANSFER_COMP,PH-OP-FILL-BULK-TRANSFER-COMP,Fill Bulk Transfer Operation Completion Phase,Verification,30,OP-FILL-BULK-TRANSFER,EM_FILL_PUMP,BATCH-FILL-2024-003,TS_FILL_TANK_LEVEL|TS_FILL_VFD_SPEED,Complete,Fill Bulk Transfer Operation Completion Phase executes verification activities for operation OP-FILL-BULK-TRANSFER
PH_OP_FILL_BULK_DRAIN_INIT,PH-OP-FILL-BULK-DRAIN-INIT,Fill Bulk Drain Operation Initialization Phase,Initialization,10,OP-FILL-BULK-DRAIN,EM_FILL_PUMP,BATCH-FILL-2024-003,TS_FILL_PANEL_STATUS|TS_FILL_PUMP_TEMP,Running,Fill Bulk Drain Operation Initialization Phase executes initialization activities for operation OP-FILL-BULK-DRAIN
PH_OP_FILL_BULK_DRAIN_PROC,PH-OP-FILL-BULK-DRAIN-PROC,Fill Bulk Drain Operation Processing Phase,Processing,20,OP-FILL-BULK-DRAIN,EM_FILL_PUMP,BATCH-FILL-2024-003,TS_FILL_PUMP_TEMP|TS_FILL_PUMP_CURRENT,Running,Fill Bulk Drain Operation Processing Phase executes processing activities for operation OP-FILL-BULK-DRAIN
PH_OP_FILL_BULK_DRAIN_COMP,PH-OP-FILL-BULK-DRAIN-COMP,Fill Bulk Drain Operation Completion Phase,Verification,30,OP-FILL-BULK-DRAIN,EM_FILL_PUMP,BATCH-FILL-2024-003,TS_FILL_PUMP_CURRENT,Complete,Fill Bulk Drain Operation Completion Phase executes verification activities for operation OP-FILL-BULK-DRAIN
PH_OP_FILL_V3_COMMISSION_INIT,PH-OP-FILL-V3-COMMISSION-INIT,Fill Version Three Commission Operation Initialization Phase,Initialization,10,OP-FILL-V3-COMMISSION,EM_FILL_PUMP,BATCH-FILL-DEV-018,TS_FILL_VFD_SPEED|TS_FILL_PANEL_STATUS,Running,Fill Version Three Commission Operation Initialization Phase executes initialization activities for operation OP-FILL-V3-COMMISSION
PH_OP_FILL_V3_COMMISSION_PROC,PH-OP-FILL-V3-COMMISSION-PROC,Fill Version Three Commission Operation Processing Phase,Processing,20,OP-FILL-V3-COMMISSION,EM_FILL_PUMP,BATCH-FILL-DEV-018,TS_FILL_PANEL_STATUS|TS_FILL_PUMP_FLOW,Running,Fill Version Three Commission Operation Processing Phase executes processing activities for operation OP-FILL-V3-COMMISSION
PH_OP_FILL_V3_COMMISSION_COMP,PH-OP-FILL-V3-COMMISSION-COMP,Fill Version Three Commission Operation Completion Phase,Verification,30,OP-FILL-V3-COMMISSION,EM_FILL_PUMP,BATCH-FILL-DEV-018,TS_FILL_PUMP_FLOW,Complete,Fill Version Three Commission Operation Completion Phase executes verification activities for operation OP-FILL-V3-COMMISSION
PH_OP_FILL_STERILE_FLUSH_INIT,PH-OP-FILL-STERILE-FLUSH-INIT,Sterile Flush Operation Initialization Phase,Initialization,10,OP-FILL-STERILE-FLUSH,EM_FILL_PUMP,BATCH-FILL-2024-010,TS_FILL_PUMP_FLOW|TS_FILL_PUMP_TEMP,Running,Sterile Flush Operation Initialization Phase executes initialization activities for operation OP-FILL-STERILE-FLUSH
PH_OP_FILL_STERILE_FLUSH_PROC,PH-OP-FILL-STERILE-FLUSH-PROC,Sterile Flush Operation Processing Phase,Processing,20,OP-FILL-STERILE-FLUSH,EM_FILL_PUMP,BATCH-FILL-2024-010,TS_FILL_PUMP_TEMP|TS_FILL_PUMP_PRESS,Running,Sterile Flush Operation Processing Phase executes processing activities for operation OP-FILL-STERILE-FLUSH
PH_OP_FILL_STERILE_FLUSH_COMP,PH-OP-FILL-STERILE-FLUSH-COMP,Sterile Flush Operation Completion Phase,Verification,30,OP-FILL-STERILE-FLUSH,EM_FILL_PUMP,BATCH-FILL-2024-010,TS_FILL_PUMP_PRESS,Complete,Sterile Flush Operation Completion Phase executes verification activities for operation OP-FILL-STERILE-FLUSH
PH_OP_FILL_REWORK_SORT_INIT,PH-OP-FILL-REWORK-SORT-INIT,Fill Rework Sorting Operation Initialization Phase,Initialization,10,OP-FILL-REWORK-SORT,EM_FILL_PUMP,BATCH-FILL-REWORK-011,TS_FILL_PUMP_PRESS|TS_FILL_PUMP_FLOW,Running,Fill Rework Sorting Operation Initialization Phase executes initialization activities for operation OP-FILL-REWORK-SORT
PH_OP_FILL_REWORK_SORT_PROC,PH-OP-FILL-REWORK-SORT-PROC,Fill Rework Sorting Operation Processing Phase,Processing,20,OP-FILL-REWORK-SORT,EM_FILL_PUMP,BATCH-FILL-REWORK-011,TS_FILL_PUMP_FLOW|TS_FILL_PUMP_CURRENT,Running,Fill Rework Sorting Operation Processing Phase executes processing activities for operation OP-FILL-REWORK-SORT
PH_OP_FILL_REWORK_SORT_COMP,PH-OP-FILL-REWORK-SORT-COMP,Fill Rework Sorting Operation Completion Phase,Verification,30,OP-FILL-REWORK-SORT,EM_FILL_PUMP,BATCH-FILL-REWORK-011,TS_FILL_PUMP_CURRENT,Complete,Fill Rework Sorting Operation Completion Phase executes verification activities for operation OP-FILL-REWORK-SORT
PH_OP_FILL_CIP_CIRC_INIT,PH-OP-FILL-CIP-CIRC-INIT,Fill CIP Circulation Operation Initialization Phase,Initialization,10,OP-FILL-CIP-CIRC,EM_FILL_PUMP,BATCH-FILL-CIP-012,TS_FILL_PANEL_STATUS|TS_FILL_VFD_SPEED,Running,Fill CIP Circulation Operation Initialization Phase executes initialization activities for operation OP-FILL-CIP-CIRC
PH_OP_FILL_CIP_CIRC_PROC,PH-OP-FILL-CIP-CIRC-PROC,Fill CIP Circulation Operation Processing Phase,Processing,20,OP-FILL-CIP-CIRC,EM_FILL_PUMP,BATCH-FILL-CIP-012,TS_FILL_VFD_SPEED|TS_FILL_PUMP_PRESS,Running,Fill CIP Circulation Operation Processing Phase executes processing activities for operation OP-FILL-CIP-CIRC
PH_OP_FILL_CIP_CIRC_COMP,PH-OP-FILL-CIP-CIRC-COMP,Fill CIP Circulation Operation Completion Phase,Verification,30,OP-FILL-CIP-CIRC,EM_FILL_PUMP,BATCH-FILL-CIP-012,TS_FILL_PUMP_PRESS,Complete,Fill CIP Circulation Operation Completion Phase executes verification activities for operation OP-FILL-CIP-CIRC
PH_OP_R12_CIP_RINSE_INIT,PH-OP-R12-CIP-RINSE-INIT,R12 CIP Rinse Operation Initialization Phase,Initialization,10,OP-R12-CIP-RINSE,EM_R12_CHARGE,BATCH-CIP-2024-005,TS_R12_PANEL_STATUS|TS_R12_VFD_SPEED,Running,R12 CIP Rinse Operation Initialization Phase executes initialization activities for operation OP-R12-CIP-RINSE
PH_OP_R12_CIP_RINSE_PROC,PH-OP-R12-CIP-RINSE-PROC,R12 CIP Rinse Operation Processing Phase,Processing,20,OP-R12-CIP-RINSE,EM_R12_CHARGE,BATCH-CIP-2024-005,TS_R12_VFD_SPEED|TS_R12_CHARGE_FLOW,Running,R12 CIP Rinse Operation Processing Phase executes processing activities for operation OP-R12-CIP-RINSE
